kode_kabupaten_kota,nama_kabupaten_kota,kode_provinsi,nama_provinsi
3204,KABUPATEN BANDUNG,32,JAWA BARAT
3217,KABUPATEN BANDUNG BARAT,32,JAWA BARAT
3216,KABUPATEN BEKASI,32,JAWA BARAT
3201,KABUPATEN BOGOR,32,JAWA BARAT
3207,KABUPATEN CIAMIS,32,JAWA BARAT
3203,KABUPATEN CIANJUR,32,JAWA BARAT
3209,KABUPATEN CIREBON,32,JAWA BARAT
3205,KABUPATEN GARUT,32,JAWA BARAT
3212,KABUPATEN INDRAMAYU,32,JAWA BARAT
3215,KABUPATEN KARAWANG,32,JAWA BARAT
3208,KABUPATEN KUNINGAN,32,JAWA BARAT
3210,KABUPATEN MAJALENGKA,32,JAWA BARAT
3218,KABUPATEN PANGANDARAN,32,JAWA BARAT
3214,KABUPATEN PURWAKARTA,32,JAWA BARAT
3213,KABUPATEN SUBANG,32,JAWA BARAT
3202,KABUPATEN SUKABUMI,32,JAWA BARAT
3211,KABUPATEN SUMEDANG,32,JAWA BARAT
3206,KABUPATEN TASIKMALAYA,32,JAWA BARAT
3273,KOTA BANDUNG,32,JAWA BARAT
3279,KOTA BANJAR,32,JAWA BARAT
3275,KOTA BEKASI,32,JAWA BARAT
3271,KOTA BOGOR,32,JAWA BARAT
3277,KOTA CIMAHI,32,JAWA BARAT
3274,KOTA CIREBON,32,JAWA BARAT
3276,KOTA DEPOK,32,JAWA BARAT
3272,KOTA SUKABUMI,32,JAWA BARAT
3278,KOTA TASIKMALAYA,32,JAWA BARAT
